L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   5, 7.46868589480215E-01,-5.77110588484915E+00,-3.40685910570452E+00,-1.74686858948021E+00,-5.67356669442446E+00,-3.07329096365993E+00,-3.07329096365992E+00, 9.10191756981525E-01
   5, 7.93132405742996E-01,-5.88065527810786E+00,-3.52865588025578E+00,-1.79313240574300E+00,-5.75436639750299E+00,-3.20626832633615E+00,-3.20626832633614E+00,-8.96389517719685E-01
   5, 8.37390524073114E-01,-5.99342953645803E+00,-3.63955083100167E+00,-1.83739052407311E+00,-5.83492626215379E+00,-3.33375962336159E+00,-3.33375962336159E+00,-8.82295975353942E-01
   5, 8.81648642403232E-01,-6.11390889779457E+00,-3.74488594608530E+00,-1.88164864240323E+00,-5.91849132527420E+00,-3.46150439267871E+00,-3.46150439267870E+00,-8.67494245045453E-01
   5, 9.27912458666013E-01,-6.24787046109553E+00,-3.84911200142015E+00,-1.92791245866601E+00,-6.00886206177864E+00,-3.59529050171186E+00,-3.59529050171186E+00,-8.51474608864781E-01
   5, 9.78464473789263E-01,-6.40323158124532E+00,-3.95634310453081E+00,-1.97846447378926E+00,-6.11090761114650E+00,-3.74175107028601E+00,-3.74175107028600E+00,-8.33611885838432E-01
   5, 1.00000000000000E+00,-6.47213595499958E+00,-4.00000000000000E+00,-2.00000000000000E+00,-6.15536707435051E+00,-3.80422606518062E+00,-3.80422606518062E+00,-8.25964092991323E-01
   5, 1.03620543362764E+00,-6.59145702552698E+00,-4.07080285728383E+00,-2.03620543362764E+00,-6.23137187785143E+00,-3.90936296288786E+00,-3.90936296288785E+00,-8.13143823383450E-01
   5, 1.10514650599932E+00,-6.82992174170796E+00,-4.19725255484101E+00,-2.10514650599932E+00,-6.38019657492068E+00,-4.10990038556676E+00,-4.10990038556675E+00,-7.89177978143685E-01
   5, 1.19119050350306E+00,-7.14593802577156E+00,-4.34151838843676E+00,-2.19119050350306E+00,-6.57278445134308E+00,-4.36075716558194E+00,-4.36075716558194E+00,-7.60782724048777E-01
   5, 1.30344703838640E+00,-7.58370244837869E+00,-4.51136764570189E+00,-2.30344703838640E+00,-6.83399862444346E+00,-4.68887554311561E+00,-4.68887554311561E+00,-7.27251313807110E-01
   5, 1.45653857938074E+00,-8.21640051003470E+00,-4.71834229242669E+00,-2.45653857938074E+00,-7.20540158370243E+00,-5.13766389733068E+00,-5.13766389733067E+00,-6.88606437452317E-01
   5, 1.67478104814623E+00,-9.16764643474824E+00,-4.98188218029719E+00,-2.67478104814623E+00,-7.75857355880244E+00,-5.77958044433979E+00,-5.77958044433979E+00,-6.46209421384189E-01
   5, 2.00000000000000E+00,-1.06506861341218E+01,-5.33816202970555E+00,-3.00000000000000E+00,-8.61988123121279E+00,-6.73971008936855E+00,-6.73971008936855E+00,-6.02956297759635E-01
   6, 0.00000000000000E+00,-6.00000000000000E+00,-2.00000000000000E+00,-2.00000000000000E+00,-6.00000000000000E+00,-2.00000000000000E+00,-2.00000000000000E+00,-1.00000000000000E+00
   6, 2.18242468765491E-01,-6.07168601197385E+00,-2.79846684814931E+00,-2.38800068630137E+00,-6.07163383474166E+00,-2.68670469918836E+00,-2.68670469918836E+00,-9.93918391558836E-01
   6, 3.71334009759827E-01,-6.20928958299480E+00,-3.39583739659599E+00,-2.66912593804534E+00,-6.20807117780819E+00,-3.19967673465612E+00,-3.19967673465612E+00, 9.81625548439735E-01
   6, 4.83590544643172E-01,-6.35907861980836E+00,-3.84112255510381E+00,-2.87851573436739E+00,-6.35339231222724E+00,-3.58821169537354E+00,-3.58821169537354E+00, 9.67273276262758E-01
   6, 5.69634542146905E-01,-6.50469053643175E+00,-4.17970436748454E+00,-3.04047330549149E+00,-6.49018012480784E+00,-3.89180831471639E+00,-3.89180831471638E+00, 9.52313431228169E-01
