L,g,chi
13,0.4081632653061224,-0.11968117879434391
13,0.44897959183673464,-0.13668327509729733
13,0.4897959183673469,-0.1556657644497877
13,0.5306122448979591,-0.17716124334649597
13,0.5714285714285714,-0.20189102065005646
13,0.6122448979591836,-0.23085653829539615
13,0.6530612244897959,-0.26547770440136614
13,0.6938775510204082,-0.3077850242485345
13,0.7346938775510203,-0.36062435865055426
13,0.7755102040816326,-0.42767931594797787
13,0.8163265306122448,-0.5127727260434136
13,0.8571428571428571,-0.6174715400446078
13,0.8979591836734693,-0.7363409272938604
13,0.9387755102040816,-0.8520819047452521
13,0.9795918367346939,-0.9375282232986979
13,1.0,-0.9608984891433024
13,1.0204081632653061,-0.9691003868986597
13,1.0612244897959182,-0.9417647550907158
13,1.1020408163265305,-0.8698915336445477
13,1.1428571428571428,-0.7753404932480389
13,1.183673469387755,-0.6763530279463403
13,1.2244897959183672,-0.5837950548998662
13,1.2653061224489794,-0.5023598452969354
13,1.3061224489795917,-0.43300517719995757
13,1.346938775510204,-0.374881944398595
13,1.3877551020408163,-0.3264769881972923
13,1.4285714285714284,-0.28618284924987336
13,1.4693877551020407,-0.2525384837981479
13,1.510204081632653,-0.2243049583973993
13,1.5510204081632653,-0.20046731529645653
13,1.5918367346938773,-0.18020826079871613
13,1.6326530612244896,-0.16287464389867934
13,1.673469387755102,-0.1479455172971622
13,1.7142857142857142,-0.13500478510031597
13,1.7551020408163265,-0.1237189135491978
13,1.7959183673469385,-0.11381925135093104
13,1.8367346938775508,-0.1050882146490294
13,1.8775510204081631,-0.09734851369949733
13,1.9183673469387754,-0.09045480854837501
13,1.9591836734693877,-0.08428720130127258
13,2.0,-0.07874620150065163
14,0.0,-5.99520433293657e-10
14,0.04081632653061224,-0.010218979851139509
14,0.08163265306122448,-0.0205279093999687
14,0.12244897959183673,-0.031019590551536424
14,0.16326530612244897,-0.04179272440313729
14,0.2040816326530612,-0.05295537269765784
14,0.24489795918367346,-0.06462911369922013
14,0.2857142857142857,-0.07695424579739586
